County Name,County Code FIPS,SAEP Version,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Estimated Total Population 2017,Estimated Total Population 2018,Estimated Total Population 2019,2020 Census (P.L. 94-171) Total Population,OFM Adjusted Total Population 2020,Estimated Total Population 2021,Estimated Total Population 2022,Estimated Total Population 2023,Estimated Total Population 2024,Numeric Change in Population 2020 to 2024,Percent Change in Population 2020 to 2024
Whitman,075,"September 19, 2024","44,776","44,488","45,424","45,498","45,817","46,380","46,623","46,961","47,217","47,871","47,973","47,973","44,600","47,800","48,100","48,750",777,1.62%
Yakima,077,"September 19, 2024","243,231","244,553","245,605","246,825","248,229","249,314","251,046","252,692","253,814","254,770","256,728","256,728","258,100","259,950","261,200","263,200","6,472",2.52%
,,,,,,,,,,,,,,,,,,,,
The 2010 estimates are based on an allocation of 2010 census block values to 2020 census blocks.,,,,,,,,,,,,,,,,,,,,
The 2011-2019 estimates are consistent with OFM April 1 2001-2009 intercensal estimates at the county level.,,,,,,,,,,,,,,,,,,,,
The 2020 Census values are based on the 2020 Census Public Law 94-171 block data.,,,,,,,,,,,,,,,,,,,,
The 2020 OFM Adjusted values are census values adjusted to improve data consistency and correct erroneous values.,,,,,,,,,,,,,,,,,,,,
"The 2021-2024 estimates, change and percent change are based on OFM Adjusted census block values.",,,,,,,,,,,,,,,,,,,,
The 2020-2024 estimates are consistent with OFM April 1 postcensal estimates at the county level.,,,,,,,,,,,,,,,,,,,,
SAEP estimates are subject to change due to data updates and revisions.,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,
File prepared on 2024_11_19.,,,,,,,,,,,,,,,,,,,,
